EnemyId,PatternTurn,ExecutionOrder,ActionType,Value,RepeatCount,TargetType,StatusType,Duration,IsPermanent,ConditionType,ConditionValue
Amphitrite,3,1,DealDamage,6,3,Player,None,0,FALSE,None,0
Amphitrite,4,1,DealDamage,15,1,Player,None,0,FALSE,None,0
Amphitrite,4,2,ApplyStatus,1,1,Player,Paralyze,0,TRUE,None,0
Amphitrite,5,1,ApplyStatus,2,1,Self,Might,0,TRUE,None,0
Amphitrite,5,2,GainBlock,14,1,Self,None,0,FALSE,None,0
Aspidochelone,1,1,ApplyStatus,1,1,Self,UnderGround,0,TRUE,None,0
Aspidochelone,2,1,DealDamage,12,1,Player,None,0,FALSE,None,0
Aspidochelone,2,2,ApplyStatus,1,1,Player,NoBlock,1,FALSE,None,0
Aspidochelone,3,1,GainBlock,22,1,Self,None,0,FALSE,None,0
Aspidochelone,4,1,DealDamage,4,3,Player,None,0,FALSE,None,0
Aspidochelone,4,2,ApplyStatus,2,1,Self,Might,0,TRUE,None,0
Aspidochelone,4,3,GainBlock,15,1,Self,None,0,FALSE,None,0
Shipcollector,1,1,ApplyStatus,1,1,Self,Kshellguard,0,TRUE,None,0
Shipcollector,2,1,DealDamage,3,3,Player,None,0,FALSE,None,0
Shipcollector,2,2,ApplyStatus,1,1,Player,Paralyze,0,TRUE,None,0
Shipcollector,3,1,GainBlock,40,1,Self,None,0,FALSE,None,0
Shipcollector,3,2,ApplyStatus,2,1,Self,Might,0,TRUE,None,0
Shipcollector,4,1,DealDamage,23,1,Player,None,0,FALSE,None,0
Shipcollector,4,2,ApplyStatus,2,1,Player,Weaken,2,FALSE,None,0
Shipcollector,4,3,ApplyStatus,2,1,Player,Cripple,2,FALSE,None,0
Templeguardian,1,1,NoAction,1,1,Self,None,0,FALSE,None,0
Templeguardian,2,1,NoAction,1,1,Self,None,0,FALSE,None,0
Templeguardian,3,1,ApplyStatus,666,1,Player,Weaken,666,FALSE,None,0
Templeguardian,3,2,ApplyStatus,666,1,Player,Cripple,666,FALSE,None,0
Templeguardian,4,1,DealDamage,6,1,Player,None,0,FALSE,None,0
Templeguardian,4,2,GainBlock,6,1,Self,None,0,FALSE,None,0
Templeguardian,5,1,DealDamage,13,1,Player,None,0,FALSE,None,0
Templeguardian,5,2,GainBlock,13,1,Self,None,0,FALSE,None,0
Templeguardian,6,1,ApplyStatus,6,1,Self,Might,0,TRUE,None,0
Templeguardian,6,2,DealDamage,6,2,Player,None,0,FALSE,None,0
Undeadcommander,1,1,DealDamage,10,1,Player,None,0,FALSE,None,0
Undeadcommander,1,2,ApplyStatus,1,1,Player,NoBlock,1,FALSE,None,0
Undeadcommander,2,1,ApplyStatus,5,1,Player,Toxic,5,FALSE,None,0
Undeadcommander,2,2,GainBlock,24,1,Self,None,0,FALSE,None,0
Undeadcommander,3,1,DealDamage,2,6,Player,None,0,FALSE,None,0
Undeadcommander,4,1,ApplyStatus,3,1,Self,Might,0,TRUE,None,0
Undeadcommander,4,2,GainBlock,24,1,Self,None,0,FALSE,None,0
Undeadcommander,4,3,ApplyStatus,3,1,Self,Paralyze,0,TRUE,None,0
Edward,1,1,DealDamage,16,1,Player,None,0,FALSE,None,0
Edward,1,2,ApplyStatus,2,1,Player,Weaken,2,FALSE,None,0
Edward,2,1,DealDamage,24,1,Player,None,0,FALSE,None,0
Edward,2,2,ApplyStatus,1,1,Player,Cripple,1,FALSE,None,0
Edward,3,1,ReadyToStrongAttack,1,1,Self,None,0,FALSE,None,0
Edward,4,1,DealDamage,36,1,Player,None,0,FALSE,None,0
Edward,4,2,ApplyStatus,-4,1,Self,Might,0,TRUE,None,0
SeaBeast,1,1,DealDamage,5,2,Player,None,0,FALSE,None,0
SeaBeast,1,2,ApplyStatus,1,1,Player,Weaken,1,FALSE,None,0
SeaBeast,2,1,ApplyStatus,1,1,Self,Might,0,TRUE,None,0
SeaBeast,2,2,ApplyStatus,1,1,Player,Cripple,1,FALSE,None,0
SeaBeast,3,1,DealDamage,2,6,Player,None,0,FALSE,None,0
SeaBeast,3,2,GainBlock,25,1,Self,None,0,FALSE,None,0
SeaBeast,4,1,ReadyToStrongAttack,1,1,Self,None,0,FALSE,None,0
SeaBeast,5,1,DealDamage,1,10,Player,None,0,FALSE,None,0
SeaBeast,5,2,ApplyStatus,10,1,Player,Toxic,10,FALSE,None,0
SeaBeast,5,3,ApplyStatus,2,1,Player,Weaken,2,FALSE,None,0
Morbael,1,1,DealDamage,17,1,Player,None,0,FALSE,None,0
Morbael,2,1,ApplyStatus,2,1,Player,Weaken,2,FALSE,None,0
Morbael,2,2,GainBlock,24,1,Self,None,0,FALSE,None,0
Morbael,3,1,SummonFuneralSpirit,1,1,Self,None,0,FALSE,FuneralSpiritCountBelow,3
Morbael,3,2,GainBlock,12,1,Self,None,0,FALSE,None,0
Morbael,4,1,DealDamage,9,3,Player,None,0,FALSE,NoActiveFuneralSpirit,0
Morbael,4,1,DealDamage,9,4,Player,None,0,FALSE,HasActiveFuneralSpirit,0
Ariel,1,1,DealDamage,19,1,Player,None,0,FALSE,None,0
Ariel,2,1,GainBlock,48,1,Self,None,0,FALSE,None,0
Ariel,3,1,ApplyStatus,2,1,Player,Weaken,2,FALSE,None,0
Ariel,3,2,ApplyStatus,2,1,Player,Cripple,2,FALSE,None,0
Ariel,4,1,DealDamage,9,5,Player,None,0,FALSE,None,0
